01482,北海道,小平町,3336,1406,62722,7687
01483,北海道,苫前町,3265,1420,45460,9033
01484,北海道,羽幌町,7327,3367,47265,8173
01485,北海道,初山別村,1217,537,27951,5017
01486,北海道,遠別町,2806,1225,59080,9683
01487,北海道,天塩町,3243,1502,35356,16705
01511,北海道,猿払村,2684,1174,58997,12016
01512,北海道,浜頓別町,3881,1845,40164,8455
01513,北海道,中頓別町,1757,775,39851,6673
01514,北海道,枝幸町,8437,3772,111593,20308
01516,北海道,豊富町,4054,1782,52069,22735
01517,北海道,礼文町,2773,1353,8164,1589
01518,北海道,利尻町,2303,1154,7651,2619
01519,北海道,利尻富士町,2787,1264,10561,3835
01520,北海道,幌延町,2447,1138,57410,13613
01543,北海道,美幌町,20296,8626,43841,16885
01544,北海道,津別町,5008,2231,71680,10618
01545,北海道,斜里町,12231,5547,73712,30765
01546,北海道,清里町,4221,1671,40276,13200
01547,北海道,小清水町,5085,2033,28689,14455
01549,北海道,訓子府町,5100,1910,19095,9241
01550,北海道,置戸町,3092,1304,52727,7834
01552,北海道,佐呂間町,5362,2311,40494,12702
01555,北海道,遠軽町,20873,9278,133245,19995
01559,北海道,湧別町,9231,3861,50579,16604
01560,北海道,滝上町,2721,1295,76689,9546
01561,北海道,興部町,3909,1757,36254,8141
01562,北海道,西興部村,1116,501,30808,3298
01563,北海道,雄武町,4525,2062,63686,15742
01564,北海道,大空町,7360,2874,34366,18960
01571,北海道,豊浦町,4291,1973,23357,4207
01575,北海道,壮瞥町,2922,1168,20501,3438
01578,北海道,白老町,17740,7955,42564,7327
01581,北海道,厚真町,4838,2126,40461,9838
01584,北海道,洞爺湖町,9299,4240,18081,6054
01585,北海道,安平町,8148,3651,23716,11580
01586,北海道,むかわ町,8596,3784,71136,13774
01601,北海道,日高町,12378,5781,99211,23030
01602,北海道,平取町,5315,2373,74309,12965
01604,北海道,新冠町,5592,2405,58581,14611
01607,北海道,浦河町,13075,6178,69426,12658
01608,北海道,様似町,4518,2044,36430,3775
01609,北海道,えりも町,4906,1929,28400,3017
01610,北海道,新ひだか町,23231,10443,114755,23307
01631,北海道,音更町,44807,18019,46602,33789
01632,北海道,士幌町,6132,2479,25919,19740
01633,北海道,上士幌町,4765,2177,69423,18533
01634,北海道,鹿追町,5542,2258,40288,16515
01635,北海道,新得町,6288,3043,106383,21887
